,node1,node2,value
0,ukraine,russia,5543039
23,russia,war,4766057
1,ukraine,war,4766057
45,war,putin,3866176
24,russia,putin,3866176
2,ukraine,putin,3866176
46,war,standwithukraine,2952265
25,russia,standwithukraine,2952265
3,ukraine,standwithukraine,2952265
66,putin,standwithukraine,2952265
47,war,nato,2109397
4,ukraine,nato,2109397
67,putin,nato,2109397
26,russia,nato,2109397
86,standwithukraine,nato,2109397
5,ukraine,mariupol,1400679
87,standwithukraine,mariupol,1400679
48,war,mariupol,1400679
68,putin,mariupol,1400679
105,nato,mariupol,1400679
27,russia,mariupol,1400679
88,standwithukraine,world,857697
106,nato,world,857697
49,war,world,857697
123,mariupol,world,857697
28,russia,world,857697
6,ukraine,world,857697
69,putin,world,857697
70,putin,news,489303
140,world,news,489303
50,war,news,489303
7,ukraine,news,489303
124,mariupol,news,489303
89,standwithukraine,news,489303
107,nato,news,489303
29,russia,news,489303
141,world,kyiv,260443
8,ukraine,kyiv,260443
108,nato,kyiv,260443
51,war,kyiv,260443
30,russia,kyiv,260443
71,putin,kyiv,260443
156,news,kyiv,260443
125,mariupol,kyiv,260443
90,standwithukraine,kyiv,260443
91,standwithukraine,forces,138084
109,nato,forces,138084
171,kyiv,forces,138084
72,putin,forces,138084
9,ukraine,forces,138084
31,russia,forces,138084
126,mariupol,forces,138084
52,war,forces,138084
157,news,forces,138084
142,world,forces,138084
92,standwithukraine,military,64793
127,mariupol,military,64793
53,war,military,64793
143,world,military,64793
10,ukraine,military,64793
185,forces,military,64793
172,kyiv,military,64793
158,news,military,64793
73,putin,military,64793
32,russia,military,64793
110,nato,military,64793
93,standwithukraine,support,29467
128,mariupol,support,29467
159,news,support,29467
74,putin,support,29467
173,kyiv,support,29467
111,nato,support,29467
186,forces,support,29467
144,world,support,29467
198,military,support,29467
54,war,support,29467
11,ukraine,support,29467
33,russia,support,29467
34,russia,ukrainerussiawar,14298
55,war,ukrainerussiawar,14298
160,news,ukrainerussiawar,14298
129,mariupol,ukrainerussiawar,14298
112,nato,ukrainerussiawar,14298
94,standwithukraine,ukrainerussiawar,14298
145,world,ukrainerussiawar,14298
210,support,ukrainerussiawar,14298
174,kyiv,ukrainerussiawar,14298
75,putin,ukrainerussiawar,14298
199,military,ukrainerussiawar,14298
12,ukraine,ukrainerussiawar,14298
187,forces,ukrainerussiawar,14298
13,ukraine,president,5481
35,russia,president,5481
221,ukrainerussiawar,president,5481
76,putin,president,5481
161,news,president,5481
188,forces,president,5481
113,nato,president,5481
146,world,president,5481
130,mariupol,president,5481
211,support,president,5481
95,standwithukraine,president,5481
200,military,president,5481
175,kyiv,president,5481
56,war,president,5481
212,support,help,2676
131,mariupol,help,2676
147,world,help,2676
114,nato,help,2676
222,ukrainerussiawar,help,2676
57,war,help,2676
14,ukraine,help,2676
77,putin,help,2676
189,forces,help,2676
201,military,help,2676
231,president,help,2676
176,kyiv,help,2676
96,standwithukraine,help,2676
162,news,help,2676
36,russia,help,2676
240,help,biden,1152
148,world,biden,1152
15,ukraine,biden,1152
177,kyiv,biden,1152
202,military,biden,1152
213,support,biden,1152
163,news,biden,1152
132,mariupol,biden,1152
190,forces,biden,1152
97,standwithukraine,biden,1152
37,russia,biden,1152
58,war,biden,1152
223,ukrainerussiawar,biden,1152
78,putin,biden,1152
232,president,biden,1152
115,nato,biden,1152
116,nato,children,536
59,war,children,536
98,standwithukraine,children,536
203,military,children,536
178,kyiv,children,536
164,news,children,536
38,russia,children,536
16,ukraine,children,536
224,ukrainerussiawar,children,536
149,world,children,536
233,president,children,536
191,forces,children,536
241,help,children,536
133,mariupol,children,536
214,support,children,536
79,putin,children,536
248,biden,children,536
234,president,killed,222
165,news,killed,222
60,war,killed,222
39,russia,killed,222
242,help,killed,222
255,children,killed,222
134,mariupol,killed,222
204,military,killed,222
150,world,killed,222
179,kyiv,killed,222
192,forces,killed,222
99,standwithukraine,killed,222
215,support,killed,222
17,ukraine,killed,222
249,biden,killed,222
80,putin,killed,222
225,ukrainerussiawar,killed,222
117,nato,killed,222
256,children,eu,69
81,putin,eu,69
180,kyiv,eu,69
193,forces,eu,69
226,ukrainerussiawar,eu,69
100,standwithukraine,eu,69
61,war,eu,69
151,world,eu,69
40,russia,eu,69
216,support,eu,69
118,nato,eu,69
235,president,eu,69
205,military,eu,69
135,mariupol,eu,69
261,killed,eu,69
243,help,eu,69
18,ukraine,eu,69
250,biden,eu,69
166,news,eu,69
206,military,usa,29
251,biden,usa,29
217,support,usa,29
236,president,usa,29
227,ukrainerussiawar,usa,29
244,help,usa,29
119,nato,usa,29
82,putin,usa,29
152,world,usa,29
136,mariupol,usa,29
266,eu,usa,29
62,war,usa,29
167,news,usa,29
41,russia,usa,29
101,standwithukraine,usa,29
181,kyiv,usa,29
19,ukraine,usa,29
257,children,usa,29
194,forces,usa,29
262,killed,usa,29
102,standwithukraine,us,14
267,eu,us,14
83,putin,us,14
195,forces,us,14
228,ukrainerussiawar,us,14
270,usa,us,14
42,russia,us,14
237,president,us,14
20,ukraine,us,14
63,war,us,14
263,killed,us,14
120,nato,us,14
182,kyiv,us,14
258,children,us,14
245,help,us,14
137,mariupol,us,14
153,world,us,14
252,biden,us,14
207,military,us,14
218,support,us,14
168,news,us,14
254,biden,russiaukrainewar,1
259,children,stop,1
274,us,russiaukrainewar,1
273,us,stop,1
246,help,stop,1
247,help,russiaukrainewar,1
271,usa,stop,1
260,children,russiaukrainewar,1
272,usa,russiaukrainewar,1
253,biden,stop,1
269,eu,russiaukrainewar,1
268,eu,stop,1
264,killed,stop,1
265,killed,russiaukrainewar,1
138,mariupol,stop,1
239,president,russiaukrainewar,1
238,president,stop,1
21,ukraine,stop,1
22,ukraine,russiaukrainewar,1
43,russia,stop,1
44,russia,russiaukrainewar,1
64,war,stop,1
65,war,russiaukrainewar,1
84,putin,stop,1
85,putin,russiaukrainewar,1
103,standwithukraine,stop,1
104,standwithukraine,russiaukrainewar,1
121,nato,stop,1
122,nato,russiaukrainewar,1
139,mariupol,russiaukrainewar,1
154,world,stop,1
155,world,russiaukrainewar,1
169,news,stop,1
170,news,russiaukrainewar,1
183,kyiv,stop,1
184,kyiv,russiaukrainewar,1
196,forces,stop,1
197,forces,russiaukrainewar,1
208,military,stop,1
209,military,russiaukrainewar,1
219,support,stop,1
220,support,russiaukrainewar,1
229,ukrainerussiawar,stop,1
230,ukrainerussiawar,russiaukrainewar,1
275,stop,russiaukrainewar,1
